"excessive","/ɪkˈsesɪv; ekˈsesɪv/","/ɪkˈsesɪv; ekˈsesɪv/","adj. 过度的，过多的"
"notable","/ˈnoʊtəb(ə)l/","/ˈnəʊtəb(ə)l/","adj. 显要的，值得注意的；非常成功的，令人尊敬的<br>n. 显要人物，名流"
"notion","/ˈnoʊʃ(ə)n/","/ˈnəʊʃ(ə)n/","n. 概念，想法；缝纫用品；一时的念头，突发的奇想"
"nourish","/ˈnɜːrɪʃ/","/ˈnʌrɪʃ/","v. 养育，滋养；培养，怀有（感情、信念等）"
"noway","/ˈnoʊˌweɪ/","/ˈnəʊˌweɪ/","adv. 决不，一点也不；不行"
"nuclear","/ˈnuːkliər/","/ˈnjuːkliə(r)/","adj. 核子的，原子核的；核武器的；原子能的，核能的；核心的，中心的；细胞核的，构成细胞核的"
"numb","/nʌm/","/nʌm/","adj. 麻木的，失去感觉的；迟钝的，呆滞的<br>v. 使麻木，使失去知觉；使迟钝，使呆滞；使（某种感觉）减轻，使减弱"
"outnumber","/ˌaʊtˈnʌmbər/","/ˌaʊtˈnʌmbə(r)/","vt. 数目超过；比……多"
"numerous","/ˈnuːmərəs/","/ˈnjuːmərəs/","adj. 众多的，许多的"
"nursery","/ˈnɜːrsəri/","/ˈnɜːsəri/","n. 托儿所，幼儿园；儿童房；<旧>儿童活动室；苗圃；（医院里的）育婴室；动物繁殖场；温床；两岁的马参加的赛马<br>adj. 幼儿教育的"
"rhyme","/raɪm/","/raɪm/","n. 押韵短诗，（押韵的）儿歌；同韵词，押韵词；押韵，用韵<br>v. 押韵，成韵；使押韵，使成韵；<文>写韵文，作诗"
"nutrient","/ˈnuːtriənt/","/ˈnjuːtriənt/","n. 养分，营养物<br>adj. 营养的，滋养的"
"oasis","/oʊˈeɪsɪs/","/əʊˈeɪsɪs/","n. （沙漠中的）绿洲；（困苦中）令人快慰的地方（或时刻），乐事；（商标）（插花时将花茎插牢于其中的）插花泥"
"obesity","/oʊˈbiːsəti/","/əʊˈbiːsəti/","n. 过度肥胖，肥胖症"
"obey","/əˈbeɪ/","/əˈbeɪ/","v. 遵守，服从，听从；<非正式>顺……的意，按……的通常情况行事；遵循（原则、自然规律等）"
"disobey","/ˌdɪsəˈbeɪ/","/ˌdɪsəˈbeɪ/","v. 违反；不服从"
"obligation","/ˌɑːblɪˈɡeɪʃn/","/ˌɒblɪˈɡeɪʃ(ə)n/","n. （法律上或道义上的）义务，责任；恩惠，人情债；（承诺付款等的）合同，契约；必须要做的事情"
"observatory","/əbˈzɜːrvətɔːri/","/əbˈzɜːvətri/","n. 天文台，气象台；视野开阔的位置（或建筑物）"
"obstacle","/ˈɑːbstək(ə)l/","/ˈɒbstək(ə)l/","n. 障碍，阻碍；障碍物"
"obstruction","/əbˈstrʌkʃ(ə)n/","/əbˈstrʌkʃn/","n. 阻挠，妨碍；堵塞；障碍物；阻塞，梗阻；（体育项目中的）阻挡犯规"
"obtain","/əbˈteɪn/","/əbˈteɪn/","v. （尤指通过艰难的过程）得到，获得；<正式>（规则或情况）存在，通用"
"occupation","/ˌɑːkjuˈpeɪʃ(ə)n/","/ˌɒkjuˈpeɪʃ(ə)n/","n. 工作，职业；消遣，业余活动；（尤指军队的）占领，控制；（房屋等地方的）居住，使用<br>adj. <英>仅供土地占有者使用的"
"occupied","/ˈɑːkjupaɪd/","/ˈɒkjupaɪd/","adj. 忙于……的，从事……的；（床、椅子、房间等）已被占用的；（地方）被占领的，遭侵占的<br>v. 占用，居住；占（空间或一段时间）；（用武力）占领，侵占"
"occurrence","/əˈkɜːrəns/","/əˈkʌrəns/","n. 发生的事，事件；发生，出现（尤指意外且令人不快的事）"
"Oceania","/ˌoʊʃiˈɑːniə/","/ˌəʊsiˈɑːniə/","n. 大洋洲"
"odd","/ɑːd/","/ɒd/","adj. 奇怪的，反常的；偶然出现的，偶尔发生的；奇形怪状的，各种各样的；不成对的，不同类的；奇数的；可得到的，可用的；少量的，不重要的；（尤指在双方至少各进一球的情况下）一球险胜的<br>adv. （用于数字后）大约，左右"
"odds","/ɑːdz/","/ɒdz/","n. （事物发生的）可能性，机会；困难，不利条件；投注赔率；（力量、权力或资源上的）优势"
"offence","/əˈfens/","/əˈfens/","n. 违法行为，犯罪；冒犯，得罪；过错，不当；讨厌的东西，引起反感的事物；<正式>攻击，攻击行为"
"crime","/kraɪm/","/kraɪm/","n. 罪，罪行；犯罪，犯罪活动；可耻行为，错误<br>v. <英，非正式>（尤指在军队里）指控……有罪，判……有罪"
"offend","/əˈfend/","/əˈfend/","v. 得罪，冒犯；令人不悦，令人不舒服；<正式> 犯罪，违法；<正式> 违犯，违反"
"offensive","/əˈfensɪv/","/əˈfensɪv/","adj. 无礼的，冒犯的；令人不快（讨厌）的；攻击的，进攻性的； <美>（体育比赛中）进攻的，攻势的<br>n. （军事）进攻，攻势；  （引人注意的）系列行动，攻势"
"offshore","/ˌɔːfˈʃɔːr/","/ˌɒfˈʃɔː(r)/","adj. 海上的，近海的；离岸的，向海的；海底石油（或天然气）的开采的；国外的，境外的<br>adv. 海上地，近海地；离岸地，向海地；海底石油（或天然气）的开采地<br>v. 将（公司的部分加工或服务）转至海外"
"oft","/ɔːft/","/ɒft/","adv. （诗、文）时常，经常"
"oilfield","/ˈɔɪlfiːld/","/ˈɔɪlfiːld/","n. 油田"
"olive","/ˈɑːlɪv/","/ˈɒlɪv/","n. 橄榄；橄榄树；橄榄色，黄绿色；炖牛肉卷；橄榄贝；（剖）橄榄体；（垫在螺母下拧紧以形成密封的）橄榄环<br>adj. 橄榄色的，茶青色的；（皮肤）橄榄色的，浅褐色的"
"omit","/əˈmɪt/","/əˈmɪt/","v. 省去，遗漏；不做，未能做"
"ongoing","/ˈɑːnɡoʊɪŋ/","/ˈɒnɡəʊɪŋ/","adj. 持续存在的，仍在进行的，不断发展的"
"openly","/ˈoʊpənli/","/ˈəʊpənli/","adv. 公开地，公然地，坦率地"
"opening","/ˈoʊpənɪŋ/","/ˈəʊpənɪŋ/","n. 洞，缺口；开始，开端；开幕式，落成典礼；国际象棋的开局；首次发生，首演；开案陈述；机会，机遇；空缺的职位；开放，开业；开，打开；<美>（林中）空地；开襟，开口<br>adj. 开始的，开端的<br>v. 打开，开启；开放，展开；开业，开门"
"oral","/ˈɔːrəl/","/ˈɔːrəl/","adj. 口头的，口述的；口的，口腔的；（药物）口服的；（语音）口腔发声的；（社会）没有文字的；（心理分析）口欲的，口唇的<br>n. （尤指外语）口试；<美>（大学里的）口试"
"orbit","/ˈɔːrbɪt/","/ˈɔːbɪt/","n. （环绕地球、太阳等运行的）轨道；势力范围，影响范围；眼眶，眼窝<br>v. 沿轨道运行，环绕……运行；使（卫星）进入轨道"
"orchestra","/ˈɔːrkɪstrə/","/ˈɔːkɪstrə/","n. （大型的）管弦乐队；乐池；<美>（剧院中）靠近舞台的座位；古希腊剧场舞台前部半圆形的表演区（供合唱队表演歌舞）"
"orient","/ˈɔːrient/","/ˈɔːrient/","v. 朝向，面对，使适合；定向放置（某物）；确定方位，认识方向；引导；使熟悉，帮助适应<br>n. <旧>东方，东亚诸国；（优质珍珠的）光泽；优质珍珠<br>adj. <文>东方的，东方国家的；（尤指宝石）光彩夺目的；（太阳等）冉冉上升的，（白昼的光亮等）渐渐变强的"
"orientation","/ˌɔːriənˈteɪʃ(ə)n/","/ˌɔːriənˈteɪʃ(ə)n/","n. 目标，定位；方向，朝向；（基本的）态度，倾向；（岗前、学前、课前等的）情况介绍，培训；适应，熟悉"
"originate","/əˈrɪdʒɪneɪt/","/əˈrɪdʒɪneɪt/","v. 起源，产生；创始，开创"
"orphan","/ˈɔːrf(ə)n/","/ˈɔːf(ə)n/","n. 孤儿；（印刷）孤行<br>v. 使成为孤儿<br>adj. 孤儿的，无双亲的"
"ouch","/aʊtʃ/","/aʊtʃ/","n. 扣环<br>int. 哎哟（突然疼痛时发出的声音）"
"outbreak","/ˈaʊtbreɪk/","/ˈaʊtbreɪk/","n. （战争、疾病、暴力等的）爆发，突然发生"
"outcome","/ˈaʊtkʌm/","/ˈaʊtkʌm/","n. 结果，效果"
"outdoor","/ˈaʊtdɔːr/","/ˈaʊtdɔː(r)/","adj. 户外的，露天的；喜欢户外活动的"
"outdoors","/ˌaʊtˈdɔːrz/","/ˌaʊtˈdɔːz/","adv. 在户外，在野外<br>n. 野外，旷野；野外活动，户外休闲<br>adj. 户外的"
"outer","/ˈaʊtər/","/ˈaʊtə(r)/","adj. 外面的，外部的；远离中心的，外围的；客观外界的，非主观的；（尤用于地名）更远的<br>n. <英>外衣，穿在外面的服饰的一部分；<英>靶子的外圈，外圈命中；<英>货箱，转运箱；<澳，非正式>跑马场围栏外部"
"outlook","/ˈaʊtlʊk/","/ˈaʊtlʊk/","n. 看法，态度；前景，展望；景色，风光；瞭望处"
"outsider","/ˌaʊtˈsaɪdər/","/ˌaʊtˈsaɪdə(r)/","n. 局外人， 外人；（组织、行业）外部的人，外来者；（比赛中）不大可能获胜的人（或动物）"
"outskirts","/ˈaʊtskɜːrts/","/ˈaʊtskɜːts/","n. 市郊，郊区"
"outsource","/ˈaʊtsɔːrs/","/ˈaʊtsɔːs/","vt. 把……外包<br>vi. 外包"
"outspoken","/aʊtˈspoʊkən/","/aʊtˈspəʊkən/","adj. 坦率的，直言不讳的"
"outstanding","/aʊtˈstændɪŋ/","/aʊtˈstændɪŋ/","adj. 杰出的，优秀的；显著的，突出的；未解决的，未完成的；（款项）未支付的，未结清的"
"outstretched","/ˌaʊtˈstretʃt/","/ˌaʊtˈstretʃt/","adj. 伸开的；扩张的<br>v. 伸出；扩大；伸展得超出……的范围"
"outward","/ˈaʊtwərd/","/ˈaʊtwəd/","adj. 外表的，表面的；（特定方面）可见的，外部的；朝外的，向外的；（旅程）往外地的，外出的<br>adv. 向外，朝外；自身之外；明显地，公然地<br>n. 外表，外面；外部世界，物质世界"
"outwards","/ˈaʊtwərdz/","/ˈaʊtwədz/","adv. 向外地"
"oval","/ˈoʊv(ə)l/","/ˈəʊv(ə)l/","adj. 椭圆形的，卵形的<br>n. 椭圆形（物），卵形（物）；椭圆形体育场，椭圆形跑道；澳式橄榄球场"
"oven","/ˈʌv(ə)n/","/ˈʌv(ə)n/","n. 烤炉，烤箱；小熔炉，小窑；（纳粹集中营的）火化室"
"overdo","/ˌoʊvərˈduː/","/ˌəʊvəˈduː/","vt. 把……做得过分；使过于疲劳；对……表演过火；夸张<br>vi. 做得过分；表演过火"
"overflow","/ˌoʊvərˈfloʊ/","/ˌəʊvəˈfləʊ/","v. 漫出，泛滥 ；充满，挤满；装满，完全盖住；扩展出界，过度延伸；洋溢着（情感）<br>n. 溢出，溢出的液体；容纳不下的人（或物）；溢流管；（计算机）数据过载"
"overhead","/ˌoʊvərˈhed/","/ˌəʊvəˈhed/","adv. 在头顶上方，在空中<br>adj. 头顶上的，在空中的，高架的；（驱动装置）顶置式的；经费的，管理费用的<br>n. <美>经常开支，营运费用；（用于投影仪显示文字、图片等的）透明幻灯片；（尤指飞机的）顶舱"
"overlook","/ˌoʊvərˈlʊk/","/ˌəʊvəˈlʊk/","v. 忽视，忽略；（工作、职位、提拔等）不考虑（某人）；（对不良现象等）不予理会，视而不见；眺望，俯瞰；<古>监督；<罕>检查；<古>用邪恶的眼睛施魔法于<br>n.  <美> 居高临下的位置，从高处能看到的景色；眺望"
"overnight","/ˌoʊvərˈnaɪt/","/ˌəʊvəˈnaɪt/","adv. 在夜间，在晚上；突然，一夜之间<br>adj. 夜间的，只供一夜的；突然的，一夜之间的<br>v. 过夜；<美>连夜快递（货物）<br>n. 一夜的逗留"
"overpass","/ˈoʊvərpæs/","/ˈəʊvəpɑːs/","n. <美>立交桥，天桥<br>v. <罕>超过"
"overseas","/ˌoʊvərˈsiːz/","/ˌəʊvəˈsiːz/","adj. 外国的，海外的<br>adv. 在国外，在海外"
"overstatement","/ˈoʊvərsteɪtmənt/","/ˈəʊvəsteɪtmənt/","n. 大话，夸大的叙述"
"overtake","/ˌoʊvərˈteɪk/","/ˌəʊvəˈteɪk/","v. 追上， 赶上并超过（汽车或人）；（发展或增长）超越，超过；突然降临于，意外发生在；（情感等）压倒，使难以承受"
"overthrow","/ˌoʊvərˈθroʊ/","/ˌəʊvəˈθrəʊ/","v. 推翻，打倒；背弃，摒弃（规则、观念或社会制度）；投（球）过猛，投球超过（接手或目标）<br>n. 推翻，打倒；投球过远，投球过猛；（因对方投球过远而得的）分；（拱门、门廊上方的）铁艺装饰板"
"overuse","/ˌoʊvərˈjuːs/","/ˌəʊvəˈjuːs/","n. 过度使用<br>vt. 把……使用过度"
"overweight","/ˌoʊvərˈweɪt/","/ˌəʊvəˈweɪt/","adj. 肥胖的；（物）超重的<br>v. 使负担过重，使超载<br>n. 超重，过重"
"overwhelm","/ˌoʊvərˈwelm/","/ˌəʊvəˈwelm/","v. （感情上）使受不了，使不知所措；使大吃一惊；压垮，使应接不暇；打败，击垮；<文> （水）漫过，淹没；压倒，制服"
"owe","/oʊ/","/əʊ/","v. 欠（钱），负账；应该做，应给予；欠（人情），应该感激；归因于，归功于"
"ox","/ɑks/","/ɒks/","n. 公牛<br>v. 用公牛拉"
"oxen","/ˈɑksən/","/ˈɒksən/","n. 公牛（复数）"
"pack","/pæk/","/pæk/","v. （把……）打包，收拾（行李）；包装，装箱；（用柔软材料）把……裹（包）起来；在（容器中的食物）上覆盖物质（以防止腐烂）；可折叠运输（或存放）；挤进，塞满；聚集；把……盖上，填封；把……大量放进，装满；（把……）压实，（使）堆积；在（委员会或会议）中安插（支持者、利己的人或事物）；<非正式>具有，能产生（强大之物或能量）；<美，非正式>携带（武器）；（橄榄球）形成对阵争球<br>n. 包，包裹，捆；（尤指士兵或野外徒步者的）背包；（一般为纸质的）小盒，小包；一副纸牌；（一起生活猎食的）兽群（尤指狼群）；（尤指不受人喜欢的）一帮，一伙；（比赛或竞赛中的）集群，集团；（放在伤口上止血或消肿的）裹布，敷料；（美容用的）面膜，贴膜；一队（男或女幼童军）；（军事交通工具，尤指飞机或潜水艇的）一组，一队；（英橄）全体前锋；（极地海洋中的）流冰群，浮冰群"
"packaging","/ˈpækɪdʒɪŋ/","/ˈpækɪdʒɪŋ/","n. 包装材料，外包装；包装工作；包装，美化<br>v. 把……打包，把……装箱（以便出售）；包装（产品或想法等）；配套销售（商品）"
"packet","/ˈpækɪt/","/ˈpækɪt/","n. <英>包装盒，包装袋；<英>（扁平的）小包裹；<美>（通常内容物仅够用一次的）小袋，小包；<美>文件包；信息包，数据包；<英，非正式>一笔巨款；<英>男性的性器官<br>v. 把..……打包"
"pad","/pæd/","/pæd/","n. （吸收液体、保洁或保护用的）软垫，垫状物；（动物的）肉掌，（人的）手指肚；便笺本，拍纸簿；发射台，停机坪；（睡莲的）浮叶；低沉的脚步声；（电子）焊接区，焊接点；<非正式，旧>住处，寓所<br>v. （用软物）填塞，垫衬；（添加不必要的信息以）拉长；<美>虚报（开支、账单）；沿着（路、路线）走；放轻脚步走；在比赛（尤指板球赛）前穿上防护垫；（板球）（击球手）有意用护垫挡球<br>abbr. 外周动脉疾病"
"paddle","/ˈpæd(ə)l/","/ˈpæd(ə)l/","n. （小船的）短桨，桨；桨状工具，桨状物；划桨；<美>（乒乓球的）球拍；<美，非正式>扁条刑杖；（明轮船驱动所用的）轮叶，明轮翼；<英>赤脚涉水，蹚水；（飞船上伸出的）太阳能电池板；（心脏起搏用的）电极棒；鳍状前肢<br>v. 用桨划（船）；在……上划船；<英>蹚水，赤足涉水；（游泳时快速）拨水；<美，非正式>用戒尺打（孩子）；搅拌，混合"
"painstaking","/ˈpeɪnzteɪkɪŋ/","/ˈpeɪnzteɪkɪŋ/","adj. 刻苦的，下苦功的<br>n. 辛苦，勤勉"
"palace","/ˈpæləs/","/ˈpæləs/","n. 王宫，（官位极高者的）府邸；住在王宫里的人，王室；大厦，豪宅<br>adj. 王宫的，（总统）官邸的；与政府人员有关的"
"pale","/peɪl/","/peɪl/","adj. （脸色）苍白的；（颜色）浅的，淡的；（光线）暗淡的，微弱的；较差的，逊色的<br>v. （脸色）变苍白；（颜色）变淡，变浅；使褪色；显得逊色，相形见绌；用板条围<br>n. （做桩篱用的）板条，尖桩；（喻）界限，范围；（纹章）（盾形中部的）垂直宽条；（俄国）犹太人居住区"
"palm","/pɑːm/","/pɑːm/","n. 手掌，手心；（手套的）掌部；（制帆工用的）护掌；棕榈树；（作为奖赏或胜利象征的）棕榈叶；鹿角的扁平部分<br>v. 把……藏在手中（尤指玩戏法）；（篮球）持球犯规；用手挡（球）"
"pan","/pæn/","/pæn/","n. 平底锅；一锅的量；<美> 烤盘，盘状器皿；（天平的）秤盘；（淘金用的）淘选盘；炼锅；<英> 马桶；钢鼓（主要为演奏者用语）；土磐，磐层；洼地，晒盐池；（旧式枪的）火药池；摇摄动作；<美，非正式> 脸<br>v. 移动拍摄，摇摄；用淘金盘淘洗，淘金；<非正式> 严厉批评（书、电影、戏剧等）；在浅锅中烹调（食物）"
"pancake","/ˈpænkeɪk/","/ˈpænkeɪk/","n. 薄煎（烤，烙）饼；<美>（当早点吃的）厚煎饼（通常和枫糖浆一起食用）；（尤为演员化装用的）粉饼；平坠降落<br>v. （飞机）平坠降落；（飞行员）驾机平坠降落；<非正式>使平展，把……压平"
"panel","/ˈpæn(ə)l/","/ˈpæn(ə)l/","n. 专家咨询组，专题讨论小组；（门等的）镶板，嵌板；控制板，仪表盘；（车身的）金属板；（衣服上的）镶条，饰片；画板；<美>陪审团；<英>国民保健制度（原国民健康保险）医师名单；<苏格兰，法律>被告<br>v. 用（木板、金属板等）覆盖，镶"
"paperwork","/ˈpeɪpərwɜːrk/","/ˈpeɪpəwɜːk/","n. 文书工作"
"pants","/pænts/","/pænts/","n. <美> 裤子；<英> 内裤，短裤；<英，非正式> 废物，劣质品<br>adj. <英，非正式>无价值的，低劣的；裤子的<br>v. 气喘，喘息；喘着气说；渴望"
"parachute","/ˈpærəʃuːt/","/ˈpærəʃuːt/","n. 降落伞<br>v. 跳伞；伞降，空投；紧急任命，临危受命"
"parade","/pəˈreɪd/","/pəˈreɪd/","n. 游行；列队表演，展示；检阅，阅兵；阅兵场；一系列（人或事）；夸示，炫耀；<英>（用于街道名称中）商业街，公共广场；<英>（常指远离大街的）一小排店铺<br>v. 游行；（使）列队行进，接受检阅；招摇过市，大摇大摆；把（囚犯）示众；展示，展览；夸示，炫耀（财产、知识等）；（使）冒充，伪装"
"parallel","/ˈpærəlel/","/ˈpærəlel/","adj. 平行的；相似的，同时发生的；（计算机）并行的；并联的<br>n. （人或事物的）相似的手法，共同点；相似的人（或物）；（地球的）纬线，纬圈；（印刷）平行符号<br>v.  与……相似；与……同时发生；与……并行；与……相当，比得上<br>adv. 与……平行"
"paramedic","/ˌpærəˈmedɪk/","/ˌpærəˈmedɪk/","n. 护理人员；伞兵军医；伞降医务人员"
"paraphrase","/ˈpærəfreɪz/","/ˈpærəfreɪz/","n. 释义，改述<br>v. 释义，改述"
"parcel","/ˈpɑːrs(ə)l/","/ˈpɑːs(ə)l/","n. <英>包裹，邮包；一批，一群；一块土地（尤指地产的一部分）；<英>有馅料的食品（通常指油酥点心）<br>v. <英>把……包起来；分配；（航海）用涂油帆布条缠包（绳索）"
"parliament","/ˈpɑːrləmənt/","/ˈpɑːləmənt/","n. 议会，国会；英国议会（包括下议院和上议院）；一届议会（会期）"
"parrot","/ˈpærət/","/ˈpærət/","n. 鹦鹉；学舌者，机械模仿别人的人<br>v. 机械地模仿，鹦鹉学舌般重复"
"particle","/ˈpɑːrtɪk(ə)l/","/ˈpɑːtɪk(ə)l/","n. 微粒；极少量；粒子（原子的极微小成分，如电子、质子或中子）；（数）质点；（语法中的）小品词"
"passionate","/ˈpæʃənət/","/ˈpæʃənət/","adj. 热诚的，狂热的；热恋的，情意绵绵的；易怒的"
"pattern","/ˈpætərn/","/ˈpæt(ə)n/","n. 模式，方式；图案，花样；模范，典范；模型，底样；（布或墙纸的）样品；样式；（声音或词汇有规则排列的）模式<br>v. 用图案装饰，给……加上花样；仿照，模仿；赋予……以固定（或易辨认）的形式；使形成，促成（某行为模式）"
"pave","/peɪv/","/peɪv/","v. 用石板（或砖）铺（路）；为……铺平道路，创造条件"
"pavement","/ˈpeɪvmənt/","/ˈpeɪvmənt/","n. <英>人行道；<美>（公路或街道的）硬路面；铺过的表面（地方）；（水平分布的）裸露岩面，砾石滩"
"pea","/piː/","/piː/","n. 豌豆（粒）；豆角；<西印度>豆荚"
"peach","/piːtʃ/","/piːtʃ/","n. 桃子；桃树；桃红色；<非正式>极好的人（或物）<br>adj. 桃红色的；用桃子制成的<br>v. 告密，告发"
"peacock","/ˈpiːkɑːk/","/ˈpiːkɒk/","n. （雄）孔雀；注重仪表和衣饰的男子，虚荣骄傲的男子<br>v. 炫耀，神气活现地走"
"pear","/per/","/peə(r)/","n. 梨，梨树"
"pearl","/pɜːrl/","/pɜːl/","n. 珍珠；珍珠母；珠状物；极其优秀的人，珍贵的东西；人造珍珠；珠灰色；珍珠项链，珍珠首饰<br>v. <文>成珠状滴；使呈珠灰色，使呈蓝灰色；（潜水）采珍珠；用珍珠装饰<br>adj. 珍珠般的；镶珍珠的"
"peasant","/ˈpez(ə)nt/","/ˈpez(ə)nt/","n. （旧时或贫穷国家的）农民，佃农；<非正式>没教养的人，粗人"
